Business Name,NAICS Code,Industry Description
DOLLAR TREE DISTRIBUTION CENTER,493110,General Warehousing and Storage
Savage Co.,484121,"General Freight Trucking, Long-Distance, Truckload"
James Hogue Enterprises LLC,541611,Administrative Management and General Management Consulting Services
On Track Trucking Inc,484110,"General Freight Trucking, Local"
Studio-MLA,541320,Landscape Architectural Services
Amalie Oil Company,324191,Petroleum Lubricating Oil and Grease Manufacturing
"Patriot Pickle, Inc.",311421,Fruit and Vegetable Canning
Linwood Trading Inc,424490,Other Grocery and Related Products Merchant Wholesalers
RIEY FIRE PROTECTION,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
"Las Vegas Grand Prix, Inc.",711211,Sports Teams and Clubs
Forest Bulk Transport,484220,"Specialized Freight (except Used Goods) Trucking, Local"
CMA CGM,483111,Deep Sea Freight Transportation
GJ Chemical,424690,Other Chemical and Allied Products Merchant Wholesalers
Vortex Cold Storage,493120,Refrigerated Warehousing and Storage
Goodfield Specialty Grain,424510,Grain and Field Bean Merchant Wholesalers
Philips,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
Goodwill Central Texas,453310,Used Merchandise Stores
Colony Hardware,423840,Industrial Supplies Merchant Wholesalers
Atlas Repairs,811310,Commercial and Industrial Machinery and Equipment Repair and Maintenance
Circle C Consulting,541611,Administrative Management and General Management Consulting Services
Russo Power Equipment,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers
IDY - FLEET EQUIPMENT,423110,Automobile and Other Motor Vehicle Merchant Wholesalers
Farmers Grain Co of Dorans,424510,Grain and Field Bean Merchant Wholesalers
CROWN MARK,423210,Furniture Merchant Wholesalers
USTC Distribution Center,493110,General Warehousing and Storage
Hancock Co. Coroner's Office,922190,"Other Justice, Public Order, and Safety Activities"
Keystone Mills LLC,311119,Other Animal Food Manufacturing
Iron River Farms,112111,Beef Cattle Ranching and Farming
CMFPD,922160,Fire Protection
Completely Fresh,424480,Fresh Fruit and Vegetable Merchant Wholesalers
Royal Packaging West,322211,Corrugated and Solid Fiber Box Manufacturing
Amrex Chemical Inc.,424690,Other Chemical and Allied Products Merchant Wholesalers
Colorado Springs Fire Departme,922160,Fire Protection
Givens Transportation,484121,"General Freight Trucking, Long-Distance, Truckload"
WeFARM,111219,Other Vegetable (except Potato) and Melon Farming
ROI Biologicals LLC,541714,Research and Development in Biotechnology
Chrysalis Fuel,424720,Petroleum and Petroleum Products Merchant Wholesalers
Allied Metal Company,331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal"
KING ZAK,424130,Industrial and Personal Service Paper Merchant Wholesalers
PGL,541614,"Process, Physical Distribution, and Logistics Consulting Services"
F.W. Cobs Company,424510,Grain and Field Bean Merchant Wholesalers
Novelis Emergency Services,922190,"Other Justice, Public Order, and Safety Activities"
"Tops Products, LLC",322230,Stationery Product Manufacturing
MPE,541330,Engineering Services
PL Developments,325412,Pharmaceutical Preparation Manufacturing
Ford,336111,Automobile Manufacturing
Santa Margarita Water District,221310,Water Supply and Irrigation Systems
WHITBY AG,111998,All Other Miscellaneous Crop Farming
Golden City Grain & Cotton Co,424510,Grain and Field Bean Merchant Wholesalers
Medical Health Pharmacy,446110,Pharmacies and Drug Stores
LPL PROJECTS & LOGISTICS USA CORP.,488510,Freight Transportation Arrangement
GSM-FUJI,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
Village of Sag Harbor,921110,Executive Offices
Valero / Parkway Pipeline,486110,Pipeline Transportation of Crude Oil
J&J Farming LLC,111219,Other Vegetable (except Potato) and Melon Farming
Little Leaf Farms,111419,Other Food Crops Grown Under Cover
Kroger Central Fill,445110,Supermarkets and Other Grocery Stores
Entergy,221118,Other Electric Power Generation
Fleetwood Industrial Supply,423840,Industrial Supplies Merchant Wholesalers
Florida Civil Commitment Center,922140,Correctional Institutions
Hydro Solutions,221310,Water Supply and Irrigation Systems
Kalmbach Feeds,311119,Other Animal Food Manufacturing
Shepherds Processed Eggs,311999,All Other Miscellaneous Food Manufacturing
SC Education Lottery,713290,Other Gambling Industries
INDUSTRIAL PIPING SPECIALIST,238220,"Plumbing, Heating, and Air-Conditioning Contractors"
Moran Logistics,493110,General Warehousing and Storage
Allen Flavors,311930,Flavoring Syrup and Concentrate Manufacturing
