Business.Name,NAISC,Specific Industry,Industry
Savage Services Corporation,488210,Support Activities for Rail Transportation,Freight
Cardinal Health,424210,Drugs and Druggists' Sundries Merchant Wholesalers,Healthcare
"Kimrad Transport, LP",484220,"Specialized Freight (except Used Goods) Trucking, Local",Freight
Coast Packing Company,311613,Rendering and Meat Byproduct Processing,Food
IST,541512,Computer Systems Design Services,IT
Kroger Central Fill,445110,Supermarkets and Other Grocery (except Convenience) Stores,Retail
"APEKS, LLC",333999,All Other Miscellaneous General Purpose Machinery Manufacturing,Manufacturing
Gallo Asti Winery,312130,Wineries,Food
Goodwill Central Texas,624310,Vocational Rehabilitation Services,Social Services
Davis Ulmer,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Construction
TLS Farm Services of East Texas LLC,115112,"Soil Preparation, Planting, and Cultivating",Farming
FedEx - LINEHAUL,492110,Couriers and Express Delivery Services,Freight
Chemical Dynamics Inc,325320,Pesticide and Other Agricultural Chemical Manufacturing,Manufacturing
Pearce Renewables,221118,Other Electric Power Generation,Energy
Curio Wellness,325411,Medicinal and Botanical Manufacturing,Healthcare
DOLLAR TREE DISTRIBUTION CENTER,493110,General Warehousing and Storage,Storage
Oakley Transport,484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",Freight
Savage Co.,488210,Support Activities for Rail Transportation,Freight
Houff Corporation,484220,"Specialized Freight (except Used Goods) Trucking, Local",Freight
James Hogue Enterprises LLC,484110,"General Freight Trucking, Local",Freight
On Track Trucking Inc,484110,"General Freight Trucking, Local",Freight
PEARSON SALES COMPANY INC.,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,Wholesale
Kroger Mountain View Foods,445110,Supermarkets and Other Grocery (except Convenience) Stores,Retail
Zulu 24 Inc.,541512,Computer Systems Design Services,IT
Amalie Oil Company,324191,Petroleum Lubricating Oil and Grease Manufacturing,Manufacturing
High Desert Milk,311511,Fluid Milk Manufacturing,Food
Linwood Trading Inc,424480,Fresh Fruit and Vegetable Merchant Wholesalers,Food
RIEY FIRE PROTECTION,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Construction
LIQUID BULK SERVICES,488999,All Other Support Activities for Transportation,Freight
Hydro Solutions,221310,Water Supply and Irrigation Systems,Utilities
Cascade Cheese,311513,Cheese Manufacturing,Food
Watco,488210,Support Activities for Rail Transportation,Freight
GJ Chemical,424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale
Goodfield Specialty Grain,424510,Grain and Field Bean Merchant Wholesalers,Food
Colony Hardware,423840,Industrial Supplies Merchant Wholesalers,Wholesale
Brenntag Great Lakes,424690,Other Chemical and Allied Products Merchant Wholesalers,Wholesale
CEI Certified Express Inc.,492110,Couriers and Express Delivery Services,Freight
Valvoline,324191,Petroleum Lubricating Oil and Grease Manufacturing,Manufacturing
Farmers Grain Co of Dorans,424510,Grain and Field Bean Merchant Wholesalers,Food
Golden City Grain & Cotton Co,424510,Grain and Field Bean Merchant Wholesalers,Food
F.W. Cobs Company,424510,Grain and Field Bean Merchant Wholesalers,Food
